"","title","year","value"
"1","Not Seasonally Adjusted (monthly average)",1913,9.88461538461539
"2","Not Seasonally Adjusted (monthly average)",1914,10.0153846153846
"3","Not Seasonally Adjusted (monthly average)",1915,10.1076923076923
"4","Not Seasonally Adjusted (monthly average)",1916,10.8846153846154
"5","Not Seasonally Adjusted (monthly average)",1917,12.8230769230769
"6","Not Seasonally Adjusted (monthly average)",1918,15.0461538461538
"7","Not Seasonally Adjusted (monthly average)",1919,17.3307692307692
"8","Not Seasonally Adjusted (monthly average)",1920,20.0384615384615
"9","Not Seasonally Adjusted (monthly average)",1921,17.8538461538462
"10","Not Seasonally Adjusted (monthly average)",1922,16.7538461538462
"11","Not Seasonally Adjusted (monthly average)",1923,17.0538461538462
"12","Not Seasonally Adjusted (monthly average)",1924,17.1230769230769
"13","Not Seasonally Adjusted (monthly average)",1925,17.5384615384615
"14","Not Seasonally Adjusted (monthly average)",1926,17.7
"15","Not Seasonally Adjusted (monthly average)",1927,17.3615384615385
"16","Not Seasonally Adjusted (monthly average)",1928,17.1538461538462
"17","Not Seasonally Adjusted (monthly average)",1929,17.1538461538462
"18","Not Seasonally Adjusted (monthly average)",1930,16.7
"19","Not Seasonally Adjusted (monthly average)",1931,15.2076923076923
"20","Not Seasonally Adjusted (monthly average)",1932,13.6461538461538
"21","Not Seasonally Adjusted (monthly average)",1933,12.9384615384615
"22","Not Seasonally Adjusted (monthly average)",1934,13.3846153846154
"23","Not Seasonally Adjusted (monthly average)",1935,13.7230769230769
"24","Not Seasonally Adjusted (monthly average)",1936,13.8692307692308
"25","Not Seasonally Adjusted (monthly average)",1937,14.3846153846154
"26","Not Seasonally Adjusted (monthly average)",1938,14.0923076923077
"27","Not Seasonally Adjusted (monthly average)",1939,13.9076923076923
"28","Not Seasonally Adjusted (monthly average)",1940,14.0076923076923
"29","Not Seasonally Adjusted (monthly average)",1941,14.7230769230769
"30","Not Seasonally Adjusted (monthly average)",1942,16.3307692307692
"31","Not Seasonally Adjusted (monthly average)",1943,17.3076923076923
"32","Not Seasonally Adjusted (monthly average)",1944,17.5923076923077
"33","Not Seasonally Adjusted (monthly average)",1945,17.9923076923077
"34","Not Seasonally Adjusted (monthly average)",1946,19.5153846153846
"35","Not Seasonally Adjusted (monthly average)",1947,22.3230769230769
"36","Not Seasonally Adjusted (monthly average)",1948,24.0461538461538
"37","Not Seasonally Adjusted (monthly average)",1949,23.8076923076923
"38","Not Seasonally Adjusted (monthly average)",1950,24.0692307692308
"39","Not Seasonally Adjusted (monthly average)",1951,25.9615384615385
"40","Not Seasonally Adjusted (monthly average)",1952,26.5461538461538
"41","Not Seasonally Adjusted (monthly average)",1953,26.7615384615385
"42","Not Seasonally Adjusted (monthly average)",1954,26.8538461538462
"43","Not Seasonally Adjusted (monthly average)",1955,26.7769230769231
"44","Not Seasonally Adjusted (monthly average)",1956,27.1846153846154
"45","Not Seasonally Adjusted (monthly average)",1957,28.0923076923077
"46","Not Seasonally Adjusted (monthly average)",1958,28.8615384615385
"47","Not Seasonally Adjusted (monthly average)",1959,29.1461538461538
"48","Not Seasonally Adjusted (monthly average)",1960,29.5769230769231
"49","Not Seasonally Adjusted (monthly average)",1961,29.8923076923077
"50","Not Seasonally Adjusted (monthly average)",1962,30.2461538461538
"51","Not Seasonally Adjusted (monthly average)",1963,30.6230769230769
"52","Not Seasonally Adjusted (monthly average)",1964,31.0153846153846
"53","Not Seasonally Adjusted (monthly average)",1965,31.5076923076923
"54","Not Seasonally Adjusted (monthly average)",1966,32.4538461538462
"55","Not Seasonally Adjusted (monthly average)",1967,33.3615384615385
"56","Not Seasonally Adjusted (monthly average)",1968,34.7846153846154
"57","Not Seasonally Adjusted (monthly average)",1969,36.6846153846154
"58","Not Seasonally Adjusted (monthly average)",1970,38.8230769230769
"59","Not Seasonally Adjusted (monthly average)",1971,40.4923076923077
"60","Not Seasonally Adjusted (monthly average)",1972,41.8153846153846
"61","Not Seasonally Adjusted (monthly average)",1973,44.4
"62","Not Seasonally Adjusted (monthly average)",1974,49.3076923076923
"63","Not Seasonally Adjusted (monthly average)",1975,53.8153846153846
"64","Not Seasonally Adjusted (monthly average)",1976,56.9076923076923
"65","Not Seasonally Adjusted (monthly average)",1977,60.6076923076923
"66","Not Seasonally Adjusted (monthly average)",1978,65.2307692307692
"67","Not Seasonally Adjusted (monthly average)",1979,72.5769230769231
"68","Not Seasonally Adjusted (monthly average)",1980,82.4076923076923
"69","Not Seasonally Adjusted (monthly average)",1981,90.9230769230769
"70","Not Seasonally Adjusted (monthly average)",1982,96.5
"71","Not Seasonally Adjusted (monthly average)",1983,99.6
"72","Not Seasonally Adjusted (monthly average)",1984,103.884615384615
"73","Not Seasonally Adjusted (monthly average)",1985,107.569230769231
